Date,USD ON LIBOR
2/1/2001,0.0665125
3/1/2001,0.0665375
4/1/2001,0.0609625
5/1/2001,0.0601625
8/1/2001,0.06015
9/1/2001,0.0601125
10/1/2001,0.06015
11/1/2001,0.060375
12/1/2001,0.06025
16/1/2001,0.0617625
17/1/2001,0.0605125
18/1/2001,0.0602625
19/1/2001,0.0599625
22/1/2001,0.06
23/1/2001,0.060275
24/1/2001,0.0610125
25/1/2001,0.0611375
26/1/2001,0.0610375
29/1/2001,0.06115
30/1/2001,0.0610125
31/1/2001,0.0603875
1/2/2001,0.0565
2/2/2001,0.055925
5/2/2001,0.056075
6/2/2001,0.05615
7/2/2001,0.0563375
8/2/2001,0.05585
9/2/2001,0.055575
12/2/2001,0.0557875
13/2/2001,0.0557375
14/2/2001,0.0556625
15/2/2001,0.0564375
16/2/2001,0.0555
20/2/2001,0.0560875
21/2/2001,0.056125
22/2/2001,0.056
23/2/2001,0.0554375
26/2/2001,0.0557125
27/2/2001,0.0557625
28/2/2001,0.0562625
1/3/2001,0.055875
2/3/2001,0.0558375
5/3/2001,0.056375
6/3/2001,0.0565
7/3/2001,0.0562938
8/3/2001,0.0557531
9/3/2001,0.0553641
12/3/2001,0.0557406
13/3/2001,0.0557156
14/3/2001,0.0558656
15/3/2001,0.0564813
16/3/2001,0.0554516
19/3/2001,0.0556906
20/3/2001,0.053425
21/3/2001,0.0513688
22/3/2001,0.0512813
23/3/2001,0.0505875
26/3/2001,0.0508797
27/3/2001,0.0509281
28/3/2001,0.051075
29/3/2001,0.0519219
30/3/2001,0.0566813
2/4/2001,0.0530281
3/4/2001,0.052625
4/4/2001,0.052275
5/4/2001,0.0513313
6/4/2001,0.0508406
9/4/2001,0.050875
10/4/2001,0.0507906
11/4/2001,0.0508156
12/4/2001,0.0515063
16/4/2001,0
17/4/2001,0.0514875
18/4/2001,0.0510797
19/4/2001,0.0457125
20/4/2001,0.045175
23/4/2001,0.0455125
24/4/2001,0.0448484
25/4/2001,0.0445219
26/4/2001,0.045325
27/4/2001,0.0459172
30/4/2001,0.0476875
1/5/2001,0.0475375
2/5/2001,0.0463563
3/5/2001,0.0456875
4/5/2001,0.0454516
7/5/2001,0
8/5/2001,0.0453891
9/5/2001,0.0452641
10/5/2001,0.045125
11/5/2001,0.0449125
14/5/2001,0.045025
15/5/2001,0.0436688
16/5/2001,0.04135
17/5/2001,0.040875
18/5/2001,0.0404516
21/5/2001,0.0407031
22/5/2001,0.0406531
23/5/2001,0.0405781
24/5/2001,0.0404
25/5/2001,0.0399813
29/5/2001,0.0411625
30/5/2001,0.0414953
31/5/2001,0.0422875
1/6/2001,0.0413063
4/6/2001,0.0407531
5/6/2001,0.0407031
6/6/2001,0.0404891
7/6/2001,0.0403891
8/6/2001,0.039975
11/6/2001,0.04055
12/6/2001,0.0406156
13/6/2001,0.0408031
14/6/2001,0.0407625
15/6/2001,0.041225
18/6/2001,0.04055
19/6/2001,0.0400875
20/6/2001,0.0396984
21/6/2001,0.0397859
22/6/2001,0.0399
25/6/2001,0.040225
26/6/2001,0.0401766
27/6/2001,0.0383922
28/6/2001,0.0384922
29/6/2001,0.0424
2/7/2001,0.0412313
3/7/2001,0.039
5/7/2001,0.0385422
6/7/2001,0.0377641
9/7/2001,0.0382031
10/7/2001,0.037975
11/7/2001,0.0380391
12/7/2001,0.03805
13/7/2001,0.0376625
16/7/2001,0.0390203
17/7/2001,0.0381875
18/7/2001,0.0378891
19/7/2001,0.037775
20/7/2001,0.0377766
23/7/2001,0.0381281
24/7/2001,0.0381406
25/7/2001,0.0381906
26/7/2001,0.0382531
27/7/2001,0.0383031
30/7/2001,0.0385
31/7/2001,0.0396625
1/8/2001,0.0390375
2/8/2001,0.038175
3/8/2001,0.037625
6/8/2001,0.0380781
7/8/2001,0.038025
8/8/2001,0.037975
9/8/2001,0.0379391
10/8/2001,0.037575
13/8/2001,0.0380781
14/8/2001,0.0381531
15/8/2001,0.0389625
16/8/2001,0.0381406
17/8/2001,0.037725
20/8/2001,0.0375875
21/8/2001,0.0361625
22/8/2001,0.0357625
23/8/2001,0.03585
24/8/2001,0.0356
27/8/2001,0
28/8/2001,0.0358156
29/8/2001,0.035925
30/8/2001,0.0359422
31/8/2001,0.037425
4/9/2001,0.0371609
5/9/2001,0.0362813
6/9/2001,0.0359422
7/9/2001,0.03525
10/9/2001,0.0355906
17/9/2001,0.03715
18/9/2001,0.0306625
19/9/2001,0.019475
20/9/2001,0.019325
21/9/2001,0.0235875
24/9/2001,0.0289375
25/9/2001,0.031175
26/9/2001,0.03275
27/9/2001,0.0318844
28/9/2001,0.0356531
1/10/2001,0.0335
2/10/2001,0.0275
3/10/2001,0.025825
4/10/2001,0.0255016
5/10/2001,0.0248875
8/10/2001,0.0248875
9/10/2001,0.0256906
10/10/2001,0.0256281
11/10/2001,0.02525
12/10/2001,0.02495
15/10/2001,0.0257156
16/10/2001,0.0254375
17/10/2001,0.0254016
18/10/2001,0.0254
19/10/2001,0.0249875
22/10/2001,0.025475
23/10/2001,0.0255
24/10/2001,0.0254375
25/10/2001,0.0254625
26/10/2001,0.0253
29/10/2001,0.0256406
30/10/2001,0.0258875
31/10/2001,0.02705
1/11/2001,0.0262563
2/11/2001,0.025275
5/11/2001,0.0254141
6/11/2001,0.0228766
7/11/2001,0.0208875
8/11/2001,0.0207906
9/11/2001,0.0203875
12/11/2001,0.0203875
13/11/2001,0.0209422
14/11/2001,0.0211125
15/11/2001,0.0215953
16/11/2001,0.0206156
19/11/2001,0.02085
20/11/2001,0.02095
21/11/2001,0.0211625
23/11/2001,0.0209
26/11/2001,0.0209422
27/11/2001,0.0210625
28/11/2001,0.0211938
29/11/2001,0.0212438
30/11/2001,0.0218594
3/12/2001,0.0215453
4/12/2001,0.0208125
5/12/2001,0.0203391
6/12/2001,0.01995
7/12/2001,0.0192375
10/12/2001,0.01925
11/12/2001,0.0186625
12/12/2001,0.0182531
13/12/2001,0.0182531
14/12/2001,0.0182031
17/12/2001,0.0192078
18/12/2001,0.0183125
19/12/2001,0.0182031
20/12/2001,0.0179141
21/12/2001,0.0177
24/12/2001,0.0179875
26/12/2001,0
27/12/2001,0.0196984
28/12/2001,0.0199125
31/12/2001,0.0205141
2/1/2002,0.0195734
3/1/2002,0.0186375
4/1/2002,0.0178766
7/1/2002,0.0182031
8/1/2002,0.0179141
9/1/2002,0.0176625
10/1/2002,0.017725
11/1/2002,0.01785
14/1/2002,0.0182281
15/1/2002,0.0189313
16/1/2002,0.0178891
17/1/2002,0.0177141
18/1/2002,0.0172859
22/1/2002,0.0181031
23/1/2002,0.0185422
24/1/2002,0.0184422
25/1/2002,0.0179766
28/1/2002,0.0183125
29/1/2002,0.0186375
30/1/2002,0.0185297
31/1/2002,0.0194094
1/2/2002,0.0187688
4/2/2002,0.01835
5/2/2002,0.0182625
6/2/2002,0.0180375
7/2/2002,0.0180375
8/2/2002,0.01775
11/2/2002,0.018225
12/2/2002,0.018175
13/2/2002,0.0181266
14/2/2002,0.0182781
15/2/2002,0.019225
19/2/2002,0.0186
20/2/2002,0.0184922
21/2/2002,0.0183125
22/2/2002,0.0178516
25/2/2002,0.01825
26/2/2002,0.0183031
27/2/2002,0.0183781
28/2/2002,0.0193594
1/3/2002,0.0184172
4/3/2002,0.0183125
5/3/2002,0.0182875
6/3/2002,0.0180125
7/3/2002,0.0181156
8/3/2002,0.017725
11/3/2002,0.0182375
12/3/2002,0.0182
13/3/2002,0.018075
14/3/2002,0.0181
15/3/2002,0.019
18/3/2002,0.0182625
19/3/2002,0.018075
20/3/2002,0.0181
21/3/2002,0.0181625
22/3/2002,0.0178875
25/3/2002,0.0182125
